652090.00,22720000,45.9
83600.00,2441000,74.1
29800.00,3520000,66.4
86600.00,7734000,62.9
143998.00,129155000,60.2
694.00,617000,73.0
5765.00,328000,73.6
47000.00,2124000,52.4
9572900.00,1277558000,71.4
9251.00,754700,76.7
69700.00,4968000,64.5
1075.00,6782000,79.5
1904569.00,212107000,68.0
3287263.00,1013662000,62.5
1648195.00,67702000,69.7
438317.00,23115000,66.5
21056.00,6217000,78.6
88946.00,5083000,77.4
377829.00,126714000,80.7
2724900.00,16223000,63.2
199900.00,4699000,63.4
181035.00,11168000,56.5
99434.00,46844000,74.4
17818.00,1972000,76.1
236800.00,5433000,53.1
10400.00,3282000,71.3
65610.00,18827000,71.8
18.00,473000,81.6
298.00,286000,62.2
676578.00,45611000,54.9
1566500.00,2662000,67.3
329758.00,22244000,70.8
147181.00,23930000,57.8
309500.00,2542000,71.8
796095.00,156483000,61.1
300000.00,75967000,67.5
120538.00,24039000,70.7
6257.00,3101000,71.4
11000.00,599000,72.4
2149690.00,21607000,67.8
618.00,3567000,80.1
185180.00,16125000,68.5
513115.00,61399000,68.6
143100.00,6188000,64.1
488100.00,4459000,60.9
14874.00,885000,46.0
774815.00,66591000,71.0
36188.00,22256000,76.4
447400.00,24318000,63.7
331689.00,79832000,69.3
527968.00,18112000,59.8
