193.00,103000,78.4
96.00,8000,76.1
800.00,217000,74.7
442.00,68000,70.5
13878.00,307000,71.1
22696.00,241000,70.9
53.00,65000,76.9
430.00,270000,73.0
9970610.00,31147000,79.4
51100.00,4023000,75.8
110861.00,11201000,76.2
264.00,38000,78.9
751.00,71000,73.4
48511.00,8495000,73.2
1705.00,456000,77.0
344.00,94000,64.5
2166090.00,56000,68.1
108889.00,11385000,66.2
112088.00,6485000,69.9
27750.00,8222000,49.2
10990.00,2583000,75.2
261.00,38000,70.7
622.00,154000,72.3
1958201.00,98881000,71.5
102.00,11000,78.0
1102.00,395000,78.3
130000.00,5074000,68.7
75517.00,2856000,75.5
8875.00,3869000,75.6
21041.00,6276000,69.7
242.00,7000,77.6
430.00,17000,73.3
5130.00,1295000,68.0
9363520.00,278357000,77.1
388.00,114000,72.3
151.00,21000,75.4
347.00,93000,78.1
